#chrom	start	end	strand	gene	gene_id	transcripts
chr5	175796532	175884021	+	CPLX2	CPLX2	8
chr5	175820969	175826978	-	LOC105377744	LOC105377744	1
chr5	175959530	175968315	-	THOC3	THOC3	2
chr5	175972608	175979402	+	THOC3-AS1	THOC3-AS1	1
chr5	176006144	176007389	+	OR1X1P	OR1X1P	1
chr5	176006747	176036469	-	LOC124900194	LOC124900194	2
chr5	176036625	176045446	+	LOC124901141	LOC124901141	4
chr5	176049677	176062055	-	LOC100996385	LOC100996385	1
chr5	176063054	176127142	+	FAM153B	FAM153B	2
chr5	176126840	176133621	-	LOC107986487	LOC107986487	1
chr5	176129712	176130294	-	SEPHS1P3	SEPHS1P3	1
chr5	176143084	176199295	-	LOC643201	LOC643201	1
chr5	176238423	176345989	+	SIMC1	SIMC1	8
chr5	176308054	176309210	+	BRCC3P1	BRCC3P1	1
chr5	176346060	176361807	-	KIAA1191	KIAA1191	15
chr5	176365486	176415063	+	ARL10	ARL10	5
chr5	176367945	176368031	+	MIR1271	MIR1271	1
chr5	176383945	176388598	-	NOP16	NOP16	9
chr5	176388750	176389761	+	HIGD2A	HIGD2A	1
chr5	176392454	176416569	-	CLTB	CLTB	8
chr5	176448384	176510074	+	FAF2	FAF2	2
chr5	176452314	176454997	+	LOC124901142	LOC124901142	1
chr5	176526711	176543513	-	RNF44	RNF44	18
chr5	176537928	176539297	+	LOC124901143	LOC124901143	1
chr5	176542510	176595974	+	CDHR2	CDHR2	2
chr5	176547432	176547726	-	RN7SL684P	RN7SL684P	1
chr5	176595801	176610156	-	GPRIN1	GPRIN1	1
chr5	176620081	176630534	-	SNCB	SNCB	10
chr5	176629438	176629500	-	MIR4281	MIR4281	1
chr5	176630674	176646644	+	EIF4E1B	EIF4E1B	2
chr5	176647483	176659051	+	TSPAN17	TSPAN17	5
chr5	176660222	176667527	+	LOC124901144	LOC124901144	1
chr5	176743204	176743921	+	LINC01574	LINC01574	1
chr5	176810558	176880898	+	UNC5A	UNC5A	5
chr5	176880868	176899346	-	HK3	HK3	4
chr5	176905004	177022602	-	UIMC1	UIMC1	15
chr5	176978665	176982462	-	LOC124901145	LOC124901145	1
chr5	177022695	177081189	+	ZNF346	ZNF346	27
chr5	177086914	177098144	+	FGFR4	FGFR4	5
chr5	177133014	177300213	+	NSD1	NSD1	3
chr5	177264725	177265274	+	RPL21P60	RPL21P60	1
chr5	177265364	177266638	-	PRMT1P1	PRMT1P1	1
chr5	177301197	177303719	-	RAB24	RAB24	4
chr5	177303798	177306949	+	PRELID1	PRELID1	2
chr5	177305498	177312752	-	MXD3	MXD3	4
chr5	177331566	177351668	-	LMAN2	LMAN2	1
chr5	177346067	177346460	+	RPS20P17	RPS20P17	1
chr5	177357923	177372596	+	RGS14	RGS14	5
chr5	177384433	177412021	+	SLC34A1	SLC34A1	7
chr5	177400108	177400661	-	PFN3	PFN3	1
chr5	177402140	177409564	-	F12	F12	2
chr5	177425522	177442891	+	GRK6	GRK6	8
chr5	177437888	177447944	-	PRR7-AS1	PRR7-AS1	2
chr5	177445994	177456286	+	PRR7	PRR7	5
chr5	177456609	177473634	-	DBN1	DBN1	9
chr5	177483393	177497604	-	PDLIM7	PDLIM7	4
chr5	177501903	177511100	-	DOK3	DOK3	19
chr5	177511576	177516961	-	DDX41	DDX41	3
chr5	177519787	177554563	-	FAM193B	FAM193B	20
chr5	177554627	177575539	+	FAM193B-DT	FAM193B-DT	2
chr5	177592202	177597242	+	TMED9	TMED9	1
chr5	177600131	177610330	+	B4GALT7	B4GALT7	6
chr5	177618499	177672277	-	LOC202181	LOC202181	1
chr5	177672378	177730077	+	LOC107986489	LOC107986489	7
chr5	177694246	177783425	-	FAM153A	FAM153A	26
chr5	177797091	177797604	+	LOC100419951	LOC100419951	1
chr5	177801078	177809507	-	LOC105377752	LOC105377752	1
chr5	177836411	177837663	-	OR1X5P	OR1X5P	1
chr5	177864398	177870996	-	LOC105377753	LOC105377753	1
chr5	177875260	177884268	+	LOC728554	LOC728554	1
chr5	177929120	177939470	-	LOC124901146	LOC124901146	1
chr5	177939526	177959800	+	LOC100128340	LOC100128340	1
chr5	177971179	177973821	+	SUDS3P1	SUDS3P1	1
chr5	177992234	177996242	-	PROP1	PROP1	1
chr5	178007217	178007508	+	LOC100288656	LOC100288656	1
chr5	178007691	178063588	+	FAM153CP	FAM153CP	2
chr5	178055571	178056268	+	RPL19P9	RPL19P9	1
chr5	178075107	178078270	-	LOC124901147	LOC124901147	1
chr5	178088499	178093389	-	LOC105377754	LOC105377754	1
chr5	178113531	178127034	+	N4BP3	N4BP3	12
chr5	178131013	178150568	+	RMND5B	RMND5B	8
chr5	178149462	178153885	-	NHP2	NHP2	3
chr5	178165674	178166609	+	LOC645853	LOC645853	1
chr5	178184504	178187371	-	GMCL2	GMCL2	1
chr5	178204532	178211163	+	HNRNPAB	HNRNPAB	4
chr5	178207143	178232822	-	PHYKPL	PHYKPL	35
chr5	178234037	178238668	+	LOC112267937	LOC112267937	2
chr5	178237617	178590393	-	COL23A1	COL23A1	11
chr5	178344816	178345517	+	MRPL50P3	MRPL50P3	1
chr5	178363057	178369504	+	LOC105377757	LOC105377757	3
chr5	178377923	178378220	+	RN7SL646P	RN7SL646P	1
chr5	178438637	178472840	-	LOC124901148	LOC124901148	1
chr5	178602663	178627050	-	CLK4	CLK4	1
chr5	178619727	178619998	-	RN7SKP70	RN7SKP70	1
chr5	178662167	178662853	+	VN2R2P	VN2R2P	1
chr5	178691533	178707472	-	MSANTD5	MSANTD5	3
chr5	178711511	178730659	-	ZNF354A	ZNF354A	5
chr5	178764860	178818435	-	AACSP1	AACSP1	2
chr5	178840096	178841136	+	LOC100129457	LOC100129457	1
chr5	178859952	178885020	+	ZNF354B	ZNF354B	1
chr5	178862724	178876056	-	LOC107986493	LOC107986493	1
chr5	178884714	178884879	+	RNU1-39P	RNU1-39P	1
chr5	178895912	178933212	+	ZFP2	ZFP2	1
chr5	178909592	178910863	-	LOC100422593	LOC100422593	1
chr5	178922019	178922914	+	PIGFP1	PIGFP1	1
chr5	178941197	178990028	+	ZNF454	ZNF454	9
chr5	178978326	178995320	-	GRM6	GRM6	1
chr5	178997770	178998814	-	LOC100288803	LOC100288803	1
chr5	179023803	179035064	+	ZNF879	ZNF879	6
chr5	179060372	179083977	+	ZNF354C	ZNF354C	2
chr5	179110852	179345461	-	ADAMTS2	ADAMTS2	4
chr5	179190631	179197614	-	LOC124900195	LOC124900195	1
chr5	179346360	179349255	-	LOC105377759	LOC105377759	1
chr5	179373430	179375546	+	LOC124901149	LOC124901149	1
chr5	179375034	179378944	-	LOC107986494	LOC107986494	2
chr5	179492014	179492157	-	LOC124901224	LOC124901224	1
chr5	179506540	179518620	-	LOC100128622	LOC100128622	1
chr5	179522495	179525174	+	LOC100289470	LOC100289470	1
chr5	179534544	179550504	-	LOC105377762	LOC105377762	3
chr5	179550553	179610012	+	RUFY1	RUFY1	17
chr5	179572086	179572873	+	PRDX2P3	PRDX2P3	1
chr5	179595903	179603741	-	RUFY1-AS1	RUFY1-AS1	1
chr5	179614177	179634784	-	HNRNPH1	HNRNPH1	52
chr5	179641543	179645046	-	C5orf60	C5orf60	1
chr5	179651282	179653233	+	LOC100502572	LOC100502572	1
chr5	179657761	179674295	+	LOC105377763	LOC105377763	2
chr5	179678559	179681034	-	CBY3	CBY3	2
chr5	179678655	179731641	+	CANX	CANX	14
chr5	179694177	179694786	+	HMGB3P22	HMGB3P22	1
chr5	179732821	179777283	+	MAML1	MAML1	1
chr5	179784375	179784901	+	LOC100884169	LOC100884169	1
chr5	179793985	179796647	+	LTC4S	LTC4S	1
chr5	179797596	179806866	-	MGAT4B	MGAT4B	3
chr5	179798277	179798346	-	MIR1229	MIR1229	1
chr5	179806392	179838078	+	SQSTM1	SQSTM1	3
chr5	179837275	179858817	-	MRNIP	MRNIP	2
chr5	179845831	179846068	+	RN7SKP150	RN7SKP150	1
chr5	179859002	179861283	+	MRNIP-DT	MRNIP-DT	1
chr5	179862070	179907897	-	TBC1D9B	TBC1D9B	2
chr5	179911650	180071759	-	RNF130	RNF130	3
chr5	179933774	179934226	-	RPS15AP18	RPS15AP18	1
chr5	179939249	179946573	-	LOC101060066	LOC101060066	1
chr5	179974528	179980238	+	LOC124901150	LOC124901150	1
chr5	180015302	180015397	-	MIR340	MIR340	1
chr5	180085608	180087055	-	LOC646058	LOC646058	1
chr5	180100794	180209211	-	RASGEF1C	RASGEF1C	1
chr5	180226332	180227022	-	RPS8P7	RPS8P7	1
chr5	180227642	180227741	-	LOC124901218	LOC124901218	1
chr5	180233142	180292083	-	MAPK9	MAPK9	15
chr5	180257679	180258711	+	LOC100419721	LOC100419721	1
chr5	180292231	180295253	+	LOC124901151	LOC124901151	1
chr5	180300697	180353336	-	GFPT2	GFPT2	1
chr5	180441758	180443240	+	LOC124901152	LOC124901152	1
chr5	180444508	180444612	+	RNU6-525P	RNU6-525P	1
chr5	180463015	180465296	-	LOC124901153	LOC124901153	1
chr5	180467232	180483284	+	LOC102725231	LOC102725231	1
chr5	180494378	180578358	+	CNOT6	CNOT6	15
chr5	180533777	180534658	-	LOC100329129	LOC100329129	1
chr5	180590104	180591499	-	SCGB3A1	SCGB3A1	1
chr5	180593169	180594268	+	LOC124901154	LOC124901154	1
chr5	180601505	180650298	-	FLT4	FLT4	10
chr5	180671893	180672600	-	LOC100420514	LOC100420514	1
chr5	180684095	180686543	+	LINC02222	LINC02222	1
chr5	180692834	180693763	-	OR2AI1P	OR2AI1P	1
chr5	180729585	180729737	+	RNU1-17P	RNU1-17P	1
chr5	180739122	180740058	-	OR2Y1	OR2Y1	1
chr5	180784779	180815616	-	MGAT1	MGAT1	37
chr5	180826869	180861276	-	ZFP62	ZFP62	20
chr5	180829953	180831618	-	HEIH	HEIH	1
chr5	180830956	180835726	+	LINC00847	LINC00847	3
chr5	180869773	180871366	+	LOC124901155	LOC124901155	1
chr5	180899158	180950906	+	BTNL8	BTNL8	12
chr5	180945725	180945987	+	RPS29P12	RPS29P12	1
chr5	180966989	180967672	-	LOC100128762	LOC100128762	1
chr5	180967670	180968572	+	LOC100419853	LOC100419853	1
chr5	180982173	180987560	+	ARPP19P1	ARPP19P1	1
chr5	180988845	181006727	+	BTNL3	BTNL3	1
chr5	181007280	181007384	+	RNU6-1036P	RNU6-1036P	1
chr5	181040265	181061521	+	BTNL9	BTNL9	13
chr5	181043402	181043484	-	MIR8089	MIR8089	1
chr5	181065154	181065680	+	RPL13P10	RPL13P10	1
chr5	181097069	181097142	+	TRV-CAC1-2	TRV-CAC1-2	1
chr5	181097473	181097555	-	TRL-AAG1-1	TRL-AAG1-1	1
chr5	181098775	181100790	-	FOXO1B	FOXO1B	1
chr5	181101839	181101921	+	TRL-AAG1-2	TRL-AAG1-2	1
chr5	181102252	181102325	-	TRV-CAC1-3	TRV-CAC1-3	1
chr5	181114025	181115854	+	LOC729707	LOC729707	1
chr5	181123121	181131169	-	OR2V1	OR2V1	1
chr5	181147585	181159285	+	OR2V2	OR2V2	1
chr5	181164153	181164226	+	TRV-AAC1-2	TRV-AAC1-2	1
chr5	181164563	181164645	-	TRL-AAG7-1	TRL-AAG7-1	1
chr5	181169609	181169682	+	TRV-AAC1-3	TRV-AAC1-3	1
chr5	181173649	181173722	+	TRV-CAC1-4	TRV-CAC1-4	1
chr5	181174043	181174125	-	TRL-AAG1-3	TRL-AAG1-3	1
chr5	181187700	181187782	+	TRL-AAG2-1	TRL-AAG2-1	1
chr5	181188415	181188488	-	TRV-AAC2-1	TRV-AAC2-1	1
chr5	181188853	181188925	-	TRP-TGG3-1	TRP-TGG3-1	1
chr5	181191045	181191908	-	LINC01962	LINC01962	1
chr5	181191686	181191758	-	TRT-TGT6-1	TRT-TGT6-1	1
chr5	181191889	181194429	+	TRIM7-AS2	TRIM7-AS2	3
chr5	181193923	181205196	-	TRIM7	TRIM7	7
chr5	181200074	181203117	+	TRIM7-AS1	TRIM7-AS1	1
chr5	181206867	181206939	+	TRA-TGC3-1	TRA-TGC3-1	1
chr5	181207754	181207827	+	TRK-CTT2-2	TRK-CTT2-2	1
chr5	181218269	181218342	-	TRV-AAC1-4	TRV-AAC1-4	1
chr5	181221978	181222051	-	TRK-CTT2-3	TRK-CTT2-3	1
chr5	181222394	181222467	-	TRV-CAC1-5	TRV-CAC1-5	1
chr5	181222565	181222633	-	MIR4638	MIR4638	1
chr5	181223280	181235808	+	TRIM41	TRIM41	8
chr5	181236896	181243906	-	RACK1	RACK1	1
chr5	181241817	181241889	-	SNORD96A	SNORD96A	1
chr5	181243313	181243376	-	SNORD95	SNORD95	1
chr5	181246540	181257586	+	CTC-338M12.4	CTC-338M12.4	1
chr5	181249061	181261143	-	TRIM52	TRIM52	6
chr5	181261211	181272307	+	TRIM52-AS1	TRIM52-AS1	4
chr5	181301966	181302070	+	RNU6-705P	RNU6-705P	1
chr5	181323505	181328195	+	LOC100132062	LOC100132062	1
chr5	181328131	181331896	-	CICP15	CICP15	1
chr5	181333740	181336324	+	SEPTIN14P5	SEPTIN14P5	1
chr5	181342141	181370030	+	OR4F3	OR4F3	1
chr5	181378694	181379201	-	WBP1LP4	WBP1LP4	1
chr5	181418736	181462878	+	LOC124901156	LOC124901156	3
chr5	181454359	181460737	-	LOC124901157	LOC124901157	1
chr5	181471951	181472479	+	RPL23AP45	RPL23AP45	1
chr6	94942	95449	+	WBP1LP12	WBP1LP12	1
chr6	105918	106856	-	OR4F1P	OR4F1P	1
chr6	109025	111100	-	LOC107986552	LOC107986552	1
chr6	140263	148159	-	SEPTIN14P6	SEPTIN14P6	1
chr6	142229	145994	+	CICP18	CICP18	1
chr6	180394	187746	+	LOC105374869	LOC105374869	3
chr6	181465	205484	-	LOC285766	LOC285766	1
chr6	230929	237134	+	LOC105374870	LOC105374870	2
chr6	292486	351355	+	DUSP22	DUSP22	7
chr6	391751	411443	+	IRF4	IRF4	5
chr6	485153	693139	-	EXOC2	EXOC2	18
chr6	655938	657100	-	HUS1B	HUS1B	1
chr6	669079	670307	-	LOC100421511	LOC100421511	1
chr6	727835	758380	-	LOC105374873	LOC105374873	2
chr6	868497	876613	+	LOC101927691	LOC101927691	1
chr6	911380	915423	+	LOC124901236	LOC124901236	4
chr6	961002	1101332	-	LINC01622	LINC01622	2
chr6	1169809	1171909	+	LOC124901237	LOC124901237	1
chr6	1186517	1186620	+	LOC124901532	LOC124901532	1
chr6	1284935	1294501	-	LOC105374879	LOC105374879	1
chr6	1312097	1314758	+	FOXQ1	FOXQ1	1
chr6	1321208	1335753	-	LINC01394	LINC01394	7
chr6	1389575	1395603	+	FOXF2	FOXF2	1
chr6	1390313	1390411	-	MIR6720	MIR6720	1
chr6	1453277	1555286	-	LOC102723944	LOC102723944	6
chr6	1489488	1492468	+	LOC105374883	LOC105374883	2
chr6	1496096	1512509	+	LOC124901238	LOC124901238	4
chr6	1507321	1507598	+	RN7SL352P	RN7SL352P	1
chr6	1512340	1515565	-	ELF2P2	ELF2P2	1
chr6	1558857	1562958	-	LOC107986555	LOC107986555	1
chr6	1605530	1607358	+	FOXCUT	FOXCUT	1
chr6	1609914	1613897	+	FOXC1	FOXC1	1
chr6	1623805	2245605	-	GMDS	GMDS	12
chr6	1656872	1668322	+	LOC107986514	LOC107986514	1
chr6	1756421	1765611	-	LOC124901239	LOC124901239	1
chr6	2231367	2234311	+	LOC107986512	LOC107986512	1
chr6	2245752	2413591	+	GMDS-DT	GMDS-DT	1
chr6	2341356	2342500	+	HMGN2P28	HMGN2P28	1
chr6	2621912	2634603	-	LINC01600	LINC01600	1
chr6	2634499	2640559	+	LINC02521	LINC02521	2
chr6	2663636	2770376	-	MYLK4	MYLK4	5
chr6	2721118	2723913	-	LOC124901240	LOC124901240	1
chr6	2765392	2786952	+	WRNIP1	WRNIP1	5
chr6	2791190	2812754	-	LOC124901241	LOC124901241	2
chr6	2832331	2841863	-	SERPINB1	SERPINB1	7
chr6	2854030	2854107	-	MIR4645	MIR4645	1
chr6	2854656	2876510	-	SERPINB9P1	SERPINB9P1	1
chr6	2883987	2900676	+	SERPINB9-AS1	SERPINB9-AS1	1
chr6	2887269	2903309	-	SERPINB9	SERPINB9	4
chr6	2948158	2971793	-	SERPINB6	SERPINB6	25
chr6	2987966	2991171	+	LINC01011	LINC01011	1
chr6	2999893	3019755	+	NQO2	NQO2	4
chr6	3018958	3023890	-	HTATSF1P2	HTATSF1P2	1
chr6	3024062	3027434	+	LOC101927759	LOC101927759	1
chr6	3045362	3046000	+	FAM136BP	FAM136BP	1
chr6	3048837	3049234	+	SERPINB8P1	SERPINB8P1	1
chr6	3055087	3057357	+	LOC124901242	LOC124901242	1
chr6	3063966	3115187	+	RIPK1	RIPK1	15
chr6	3088685	3088809	-	RNA5SP201	RNA5SP201	1
chr6	3105421	3118647	-	LOC107986556	LOC107986556	1
chr6	3118375	3153578	+	BPHL	BPHL	6
chr6	3153665	3157544	-	TUBB2A	TUBB2A	2
chr6	3157700	3159436	+	LOC105374889	LOC105374889	1
chr6	3177041	3179714	-	TUBB2BP1	TUBB2BP1	1
chr6	3182816	3195767	-	LINC02525	LINC02525	2
chr6	3224276	3227653	-	TUBB2B	TUBB2B	1
chr6	3231402	3239983	+	LOC100422781	LOC100422781	1
chr6	3254403	3268049	+	PSMG4	PSMG4	7
chr6	3268972	3457050	-	SLC22A23	SLC22A23	23
chr6	3410699	3417979	+	LOC105374890	LOC105374890	1
chr6	3455702	3469010	+	LOC643327	LOC643327	1
chr6	3593489	3720077	-	LOC100507336	LOC100507336	3
chr6	3663006	3668704	-	LOC124901243	LOC124901243	2
chr6	3693555	3694108	-	LOC100129626	LOC100129626	1
chr6	3722618	3751713	-	PXDC1	PXDC1	4
chr6	3786958	3789119	-	LOC124901244	LOC124901244	1
chr6	3831893	3851317	+	FAM50B	FAM50B	3
chr6	3844687	3849366	-	LOC107986557	LOC107986557	1
chr6	3897300	3912002	-	LOC107986558	LOC107986558	1
chr6	3913875	3914321	-	RPS25P7	RPS25P7	1
chr6	3941233	3942007	+	TDGF1P4	TDGF1P4	1
chr6	3978040	3979369	+	GLRX3P2	GLRX3P2	1
chr6	4002501	4021167	-	LOC124901245	LOC124901245	3
chr6	4021299	4064983	+	PRPF4B	PRPF4B	35
chr6	4068366	4087341	-	FAM217A	FAM217A	12
chr6	4076388	4076479	+	LOC124901553	LOC124901553	1
chr6	4079208	4130765	+	C6orf201	C6orf201	4
chr6	4115705	4135575	-	ECI2	ECI2	4
chr6	4136071	4157385	+	ECI2-DT	ECI2-DT	1
chr6	4140333	4141802	-	LOC107986559	LOC107986559	1
chr6	4143709	4179409	+	LOC124901246	LOC124901246	1
chr6	4186319	4190029	-	LOC102724096	LOC102724096	1
chr6	4189067	4190008	+	LOC100129052	LOC100129052	1
chr6	4228412	4228528	-	LOC124901556	LOC124901556	1
chr6	4341753	4347162	-	LOC101927888	LOC101927888	3
chr6	4415399	4442787	+	LOC107986560	LOC107986560	1
chr6	4427962	4428081	+	RNA5SP202	RNA5SP202	1
chr6	4428847	4583845	-	LOC105374894	LOC105374894	5
chr6	4447004	4464779	+	LOC107986561	LOC107986561	1
chr6	4464812	4467378	+	LOC124901247	LOC124901247	1
chr6	4488797	4495771	+	LINC02533	LINC02533	1
chr6	4610564	4611919	+	KU-MEL-3	KU-MEL-3	1
chr6	4643761	4643854	+	LOC124901549	LOC124901549	1
chr6	4702456	4704003	+	PSMC1P11	PSMC1P11	1
chr6	4706137	4955544	+	CDYL	CDYL	8
chr6	4774525	4775426	-	CDYL-AS1	CDYL-AS1	2
chr6	4892385	4918683	+	LOC105374897	LOC105374897	1
chr6	4979028	4979535	+	RPS18P8	RPS18P8	1
chr6	4988425	5004037	-	RPP40	RPP40	9
chr6	5003815	5240496	+	LYRM4-AS1	LYRM4-AS1	5
chr6	5014337	5025983	-	LOC124901248	LOC124901248	2
chr6	5031752	5260950	-	LYRM4	LYRM4	10
chr6	5065606	5067041	-	LOC442155	LOC442155	1
chr6	5085340	5089487	+	PPP1R3G	PPP1R3G	1
chr6	5148232	5148322	-	MIR3691	MIR3691	1
chr6	5238550	5245088	-	LOC124901249	LOC124901249	1
chr6	5249933	5771583	+	FARS2	FARS2	23
chr6	5452467	5458075	-	FARS2-AS1	FARS2-AS1	3
chr6	5608730	5610281	-	HNRNPA1P37	HNRNPA1P37	1
chr6	5664984	5695272	-	LOC101927950	LOC101927950	1
chr6	5788309	5788730	-	RPL34P16	RPL34P16	1
chr6	5826542	5829563	+	LOC124901250	LOC124901250	1
chr6	5862966	5872871	+	LOC124901251	LOC124901251	1
chr6	5874907	5876492	-	LOC124901252	LOC124901252	1
chr6	5891567	5919245	+	LOC107986516	LOC107986516	1
chr6	5918563	5918844	-	RN7SL221P	RN7SL221P	1
chr6	5972323	5974405	+	PKMP5	PKMP5	1
chr6	5990885	5998091	+	LOC105374898	LOC105374898	1
chr6	5997998	6007518	-	NRN1	NRN1	5
chr6	6144083	6320662	-	F13A1	F13A1	1
chr6	6169303	6169435	-	MIR7853	MIR7853	1
chr6	6169333	6169409	+	MIR5683	MIR5683	1
chr6	6285886	6330167	+	LOC124901253	LOC124901253	1
chr6	6346464	6622826	-	LY86-AS1	LY86-AS1	1
chr6	6347086	6347367	-	SNAPC5P1	SNAPC5P1	1
chr6	6534579	6535828	+	CNN3P1	CNN3P1	1
chr6	6588719	6654982	+	LY86	LY86	1
chr6	6694791	6801171	-	LOC101928004	LOC101928004	9
chr6	6709376	6733391	+	LOC101928047	LOC101928047	2
chr6	6752065	6759302	-	LOC105374901	LOC105374901	1
chr6	6759355	6759994	+	LOC124901254	LOC124901254	2
chr6	6794655	6795501	-	BTF3P7	BTF3P7	1
chr6	6871693	6890354	-	LOC105374903	LOC105374903	1
chr6	6885672	6898568	+	LOC105374902	LOC105374902	3
chr6	6938605	6938897	-	RN7SL554P	RN7SL554P	1
chr6	6994095	6995825	+	LOC105374904	LOC105374904	1
chr6	7107742	7251980	+	RREB1	RREB1	4
chr6	7281142	7313199	-	SSR1	SSR1	3
chr6	7326658	7389742	-	CAGE1	CAGE1	3
chr6	7338830	7339598	-	RPS3P4	RPS3P4	1
chr6	7340743	7342555	-	LOC100422646	LOC100422646	1
chr6	7389807	7418037	+	RIOK1	RIOK1	3
chr6	7426871	7452793	+	LOC102724234	LOC102724234	3
chr6	7480863	7482595	-	HNRNPLP1	HNRNPLP1	1
chr6	7506175	7506618	+	RPS26P29	RPS26P29	1
chr6	7516093	7517878	-	LOC644051	LOC644051	1
chr6	7540450	7541917	-	DSP-AS1	DSP-AS1	1
chr6	7541670	7586714	+	DSP	DSP	3
chr6	7590197	7611967	+	SNRNP48	SNRNP48	3
chr6	7620422	7620885	+	RPL29P1	RPL29P1	1
chr6	7672648	7699982	+	LOC105374906	LOC105374906	2
chr6	7726098	7881728	+	BMP6	BMP6	1
chr6	7881249	8064414	-	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5	1
chr6	7881516	7910788	-	TXNDC5	TXNDC5	2
chr6	7986101	7990344	+	PIP5K1P1	PIP5K1P1	1
chr6	8013566	8064414	-	BLOC1S5	BLOC1S5	3
chr6	8013566	8102595	-	EEF1E1-BLOC1S5	EEF1E1-BLOC1S5	1
chr6	8073359	8102548	-	EEF1E1	EEF1E1	2
chr6	8086407	8086533	-	SCARNA27	SCARNA27	1
chr6	8158180	8260982	+	LOC105374910	LOC105374910	4
chr6	8283224	8326315	+	LOC105374911	LOC105374911	3
chr6	8411434	8435567	-	SLC35B3	SLC35B3	28
chr6	8435622	8785445	+	LOC100506207	LOC100506207	2
chr6	8652208	8653846	+	HULC	HULC	1
chr6	8906073	8940358	+	LOC112267952	LOC112267952	3
chr6	8959907	9051662	+	LOC105374914	LOC105374914	6
chr6	9124220	9140398	-	LOC107986562	LOC107986562	1
chr6	9224856	9226417	+	LOC124901255	LOC124901255	1
chr6	9697234	9698141	+	LOC124901484	LOC124901484	1
chr6	9704977	10211608	-	OFCC1	OFCC1	1
chr6	10041198	10062357	+	LOC105374919	LOC105374919	1
chr6	10095416	10140684	-	LOC124900218	LOC124900218	1
chr6	10118433	10119312	+	RPL7AP36	RPL7AP36	1
chr6	10140785	10145145	+	LOC105374918	LOC105374918	1
chr6	10213849	10214402	-	RPL21P62	RPL21P62	1
chr6	10222035	10222161	+	RNU6ATAC21P	RNU6ATAC21P	1
chr6	10325209	10330104	-	LOC105374920	LOC105374920	1
chr6	10347962	10352094	-	LOC105374921	LOC105374921	1
chr6	10365312	10366592	-	LOC442161	LOC442161	1
chr6	10393180	10396668	-	LOC124901485	LOC124901485	1
chr6	10396676	10419659	-	TFAP2A	TFAP2A	3
chr6	10404501	10407927	+	TFAP2A-AS2	TFAP2A-AS2	1
chr6	10412317	10416169	+	TFAP2A-AS1	TFAP2A-AS1	1
chr6	10426427	10428281	+	LOC107986564	LOC107986564	1
chr6	10427784	10434822	-	LINC00518	LINC00518	1
chr6	10434328	10456781	+	MIR5689HG	MIR5689HG	1
chr6	10439716	10439794	+	MIR5689	MIR5689	1
chr6	10459676	10460589	-	MRPL48P1	MRPL48P1	1
chr6	10465911	10481966	-	LINC02522	LINC02522	5
chr6	10508659	10521406	-	LOC101928146	LOC101928146	2
chr6	10514184	10514946	+	LOC100422564	LOC100422564	1
chr6	10521350	10629368	+	GCNT2	GCNT2	13
chr6	10574711	10575239	-	RPL21P63	RPL21P63	1
chr6	10633759	10634830	+	GCNT2P1	GCNT2P1	1
chr6	10671421	10694891	-	C6orf52	C6orf52	12
chr6	10690864	10709782	+	PAK1IP1	PAK1IP1	3
chr6	10723069	10731127	+	TMEM14C	TMEM14C	2
chr6	10743323	10747584	-	TMEM14B-DT	TMEM14B-DT	2
chr6	10747758	10759774	+	TMEM14B	TMEM14B	6
chr6	10752790	10752926	-	RNA5SP203	RNA5SP203	1
chr6	10762722	10838539	-	MAK	MAK	15
chr6	10873222	10882041	-	GCM2	GCM2	1
chr6	10887051	10974309	+	SYCP2L	SYCP2L	1
chr6	10932316	10954089	-	LOC101928191	LOC101928191	1
chr6	10980758	11044305	-	ELOVL2	ELOVL2	4
chr6	11015445	11015983	+	LOC100421248	LOC100421248	1
chr6	11043757	11079144	+	ELOVL2-AS1	ELOVL2-AS1	3
chr6	11093833	11138733	+	SMIM13	SMIM13	1
chr6	11102488	11111725	-	ERVFRD-1	ERVFRD-1	1
chr6	11183297	11382348	-	NEDD9	NEDD9	5
chr6	11219860	11230710	-	LOC124901256	LOC124901256	1
chr6	11291721	11335790	+	LOC105374925	LOC105374925	6
chr6	11391874	11394862	-	LOC105374927	LOC105374927	1
chr6	11417362	11535327	+	LOC105374928	LOC105374928	5
chr6	11417618	11429560	+	LOC105374929	LOC105374929	1
chr6	11503508	11503671	-	RNU1-64P	RNU1-64P	1
chr6	11514191	11516389	+	THAP12P5	THAP12P5	1
chr6	11537748	11583524	+	TMEM170B	TMEM170B	2
chr6	11690256	11710399	+	LOC340184	LOC340184	1
chr6	11709818	11709960	+	LOC124900221	LOC124900221	1
chr6	11713522	11778803	-	ADTRP	ADTRP	8
chr6	11727164	11731247	+	LOC124901258	LOC124901258	1
chr6	11806639	11811266	-	LOC107986567	LOC107986567	1
chr6	11810083	11811063	+	LOC124901257	LOC124901257	1
chr6	11858471	11868600	-	LOC102724379	LOC102724379	2
chr6	11861425	11862699	-	AMD1P4	AMD1P4	1
chr6	11934029	11961002	+	LOC107986570	LOC107986570	3
chr6	11990342	12001244	-	LOC101928253	LOC101928253	1
chr6	12007692	12212048	+	HIVEP1	HIVEP1	18
chr6	12228225	12251997	+	LOC124901259	LOC124901259	1
chr6	12241446	12265376	-	LOC124901260	LOC124901260	1
chr6	12256483	12297194	+	EDN1	EDN1	6
